,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
5,0.486860991,0.018725107,0.001985049,0.000570703,0.001,l2,liblinear,"{'C': 0.001, 'penalty': 'l2', 'solver': 'liblinear'}",0.724,0.748,0.74,0.776,0.7,0.744,0.74,0.824,0.672,0.752,0.742,0.038750484,1
1,0.239034986,0.011577709,0.001629877,0.000541138,0.0001,l2,liblinear,"{'C': 0.0001, 'penalty': 'l2', 'solver': 'liblinear'}",0.7,0.776,0.748,0.768,0.704,0.708,0.732,0.788,0.7,0.784,0.7408,0.034585546,2
0,0.094062495,0.008898942,0.001404667,0.00043754,0.0001,l2,lbfgs,"{'C': 0.0001, 'penalty': 'l2', 'solver': 'lbfgs'}",0.704,0.772,0.752,0.76,0.692,0.724,0.72,0.808,0.692,0.756,0.738,0.036011109,3
2,0.503875232,0.040714536,0.00129559,0.000382736,0.0001,l2,newton-cg,"{'C': 0.0001, 'penalty': 'l2', 'solver': 'newton-cg'}",0.704,0.772,0.752,0.76,0.692,0.724,0.72,0.808,0.692,0.756,0.738,0.036011109,3
3,2.117243052,0.037040679,0.001351905,0.000392141,0.0001,l2,saga,"{'C': 0.0001, 'penalty': 'l2', 'solver': 'saga'}",0.704,0.772,0.752,0.76,0.692,0.724,0.72,0.808,0.692,0.756,0.738,0.036011109,3
7,2.486843491,0.064321293,0.001222086,0.000355726,0.001,l2,saga,"{'C': 0.001, 'penalty': 'l2', 'solver': 'saga'}",0.724,0.76,0.744,0.776,0.7,0.736,0.712,0.804,0.648,0.752,0.7356,0.04108333,6
4,0.173020625,0.011553095,0.001640701,0.000454089,0.001,l2,lbfgs,"{'C': 0.001, 'penalty': 'l2', 'solver': 'lbfgs'}",0.724,0.76,0.744,0.776,0.7,0.736,0.712,0.8,0.648,0.752,0.7352,0.040429692,7
6,0.651129007,0.033393666,0.001703358,0.000400053,0.001,l2,newton-cg,"{'C': 0.001, 'penalty': 'l2', 'solver': 'newton-cg'}",0.724,0.76,0.744,0.776,0.7,0.736,0.712,0.8,0.648,0.752,0.7352,0.040429692,7
40,0.22448988,0.006560635,0.002042627,0.000115767,0.01,l1,liblinear,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",0.688,0.772,0.748,0.756,0.68,0.7,0.716,0.804,0.676,0.76,0.73,0.041732481,9
41,5.390265179,0.069237538,0.001585484,0.000483723,0.01,l1,saga,"{'C': 0.01, 'penalty': 'l1', 'solver': 'saga'}",0.688,0.74,0.732,0.744,0.676,0.736,0.704,0.804,0.672,0.76,0.7256,0.039036393,10
43,6.71750133,0.146215538,0.001625252,0.00049327,0.1,l1,saga,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}",0.708,0.712,0.74,0.74,0.668,0.736,0.704,0.78,0.664,0.736,0.7188,0.033468791,11
42,0.31447916,0.005630473,0.002001095,1.36E-06,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.696,0.712,0.736,0.72,0.648,0.728,0.7,0.776,0.652,0.736,0.7104,0.036930204,12
8,0.309690619,0.01085079,0.001547861,0.000517,0.01,l2,lbfgs,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}",0.696,0.724,0.704,0.744,0.628,0.7,0.716,0.772,0.668,0.74,0.7092,0.03865954,13
